Character,CharacterState,CharacterStateTranslation,StateHelp,StateHelpShort,
PalpTarsusLength,shorter,tarsus shorter than tibia,The tarsus of the palp (last segment) is shorter than the tibia of the palp (second last segment).,,
PalpTarsusLength,longer,tarsus longer than tibia,The tarsus of the palp (last segment) is longer than the tibia of the palp (second last segment).,,
PalpVentralFemurTubercles,absent,,"No spine-tipped tubercles evident (though there may be very weak spines, spicules or hairs).",,
PalpVentralFemurTubercles,small,,Small spine-tipped tubercles present - may be visible with a hand lens.,,
PalpVentralFemurTubercles,medium,,Moderately sized spine-tipped tubercles are present - should be visible with a hand lens.,,
PalpVentralFemurTubercles,large,,Large spine-tipped tubercles are present - visible with a hand lens.,,
PalpVentralFemurTubercles,very large,,Extremely long spine-tipped tubercles present - at least as long as the width of the femur - visible to the naked eye.,,
CheliceraProjections,none visible,,,,
CheliceraProjections,covered with tubercles,,Tubercles covering both segments of the chelicerae in Dicranopalpus.,,
CheliceraProjections,forward projection on basal segment,,"Prominent forward-pointing projections on the distal part of the *basal* cheliceral segment that occur in males of some species. Technically, they are called 'cheliceral glands'.",,
CheliceraProjections,large projection on distal segment,,A large forward-pointing projection on the distal part of the distal cheliceral segment in male Paltybunus trianguaris.,,
CheliceraProjections,huge projection on distal segment,,"A huge 'horn-like' projection towards the head from the proximal part of the distal cheliceral segment that occurs in males of Phalangium opilio. Because of the way the male folds and carries the chelicerae, these actually project forwards in front of it.",A big horn.,
SupraCheliceralProjections,none,,No projections evident directly above chelicerae.,,
SupraCheliceralProjections,two small pointed tubercles,,Two small projections on the supra-chelliceral lamellae.,,
SupraCheliceralProjections,pair of blunt projections,,A pair of blunt projections above the chelicerae.,,
LegsRelativeLength,short,,The first pair of legs are not  very much longer than the body.,,
LegsRelativeLength,medium,,The legs are substantially longer than the body but still relatively stout in comparison.,,
LegsRelativeLength,long,,The legs are long and thin in comparison to the body.,,
LegsRelativeLength,very long,,The very long thin legs are a conspicuous feature.,,
LegsLength1And2,shorter or about as long as body,,,,
LegsLength1And2,clearly longer than body,,,,
LegsColour,same,,,,
LegsColour,darker,,,,
LegsAnnulations,none,,,,
LegsAnnulations,moderate,,,,
LegsAnnulations,strong,,,,
LegsCoxaMarkings,none,,There are no distinctive markings on the coxae.,,
LegsCoxaMarkings,single brown spot,,There is a single (often feint) brown spot near the distal end of each coxae.,,
LegsCoxaMarkings,irregular brown spots,,There are distinctive irregular brown spots all over the coxae.,,
LegsTrochanterMarkings,none,,,,
LegsTrochanterMarkings,"pale, darker towards legs",,,,
LegsTrochanterMarkings,orange with dark patches,,,,
LegsTrochanterMarkings,dark with light patches,,,,
LegsFemurArmature,weak,,Armature spines on legs relatively weak (compare with other values for this character).,,
LegsFemurArmature,moderate,,Armature spines on legs moderately strong (compare with other values for this character).,,
LegsFemurArmature,strong,,Armature spines on legs relatively strong (compare with other values for this character).,,
LegsDistalLegSpines,yes,,,,
LegsDistalLegSpines,no,,,,
LegsOther,leg patellas swollen,,,,
LegsOther,femurs of legs 1 and 3 swollen,,,,
LegsOther,tarsi of legs 1 and 2 with 2 segments,,,,
LegsOther,tarsi of legs 1 and 2 with 3 segments,,,,
LegsOther,body-colour trochanters contrast with dark legs,,,,
LegsOther,at rest held straight out in narrow fans on either side of body,,,,
MonthRange,jan,January,,,
MonthRange,feb,Febuary,,,
MonthRange,mar,March,,,
MonthRange,apr,April,,,
MonthRange,may,May,,,
MonthRange,jun,June,,,
MonthRange,jul,July,,,
MonthRange,aug,August,,,
MonthRange,sep,September,,,
MonthRange,oct,October,,,
MonthRange,nov,November,,,
MonthRange,dec,December,,,
PeakMonth,jan,January,,,
PeakMonth,feb,Febuary,,,
PeakMonth,mar,March,,,
PeakMonth,apr,April,,,
PeakMonth,may,May,,,
PeakMonth,jun,June,,,
PeakMonth,jul,July,,,
PeakMonth,aug,August,,,
PeakMonth,sep,September,,,
PeakMonth,oct,October,,,
PeakMonth,nov,November,,,
PeakMonth,dec,December,,,
BodyFlattened,yes,,The body is notably dorso-ventrally flattened (as if the top and bottom of the harvestman had been squashed together).,,
BodyFlattened,no,,The body is more or less rounded in cross section - not flattened.,,
GranularAppearance,yes,,,,
GranularAppearance,no,,,,
CentralStripe,yes,,There is a more or less obvious narrow central stripe running down the midline of the body.,,
CentralStripe,no,,There is no no narrow central stripe running down the midline of the body.,,
DorsalTubercleRows,none,,There are no obvious transverse rows of tubercles.,,
DorsalTubercleRows,inconspicuous,,There are inconspicuous transverse rows of tubercles. In some individuals these may be very inconspicuous.,,
DorsalTubercleRows,conspicuous,,There are more or less conspicuous rows of tubercles across the abdomen.,,
DorsalTubercleRows,very conspicuous,,Transverse rows of tubercles across the abdomen are very obvious.,,
OculariumEyeRings,yes,,There are pale rings around the dark eyes and these rings are themselves separated by a darker line running down the midline of the ocularium. Tubercles may arise from the pale eye rings (which might not themselves be entirely pale).,,
OculariumEyeRings,no,,"There are no pale eye rings around the dark eyes, or the pale rings around the eyes merge together for at least part of their length, therefore not creating separate eye rings. ",,
OculariumArmatureType,hairs,,Use this option for projections which are hair-like in appearance for the whole length (not hair-tipped).,,
OculariumArmatureType,spines,,Use this option for projections that resemble spines.,,
OculariumArmatureType,tubercles,,Use this option for projections which are neither clear spines or hairs. They are more or less conical 'bumps'.,,
OculariumTubercleEnd,hair-tipped,,The tubercle terminates in a hair (or rather a 'mucronate tip').,,
OculariumTubercleEnd,pointed,,The end of the tubercle could be described as pointed or sharp.,,
OculariumTubercleEnd,blunt,,The end of the tubercle is more or less blunt.,,
OculariumTubercleEnd,swollen,,The end of the tubercle flares out.,,
OculariumArmatureSize,small,,Armature consists entirely of small hairs or 'spicules'.,,
OculariumArmatureSize,moderate,,Moderate tubercles are evident when viewed with a lens.,,
OculariumArmatureSize,prominent,,Prominent tubercles that are easily seen with a lens. ,,
OculariumArmatureSize,robust,,Very robust tubercles that may even be visible with the naked eye.,,
OculariumArmatureSize,extremely long,,Extremely long tubercles that look like spines.,,
PalpTibiaApophysis,none,,No apparent projection,,
PalpTibiaApophysis,small,,A small bump-like projection is visible under magnification - may be visible with a hand lens.,,
PalpTibiaApophysis,moderate,,A projection is present -  visible with a hand lens.,,
PalpPatellaApophysis,none,,No apparent projection.,,
PalpPatellaApophysis,small,,A small bump-like projection is visible under magnification - may be visible with a hand lens.,,
PalpPatellaApophysis,moderate,,A projection is present -  visible with a hand lens.,,
PalpPatellaApophysis,large,,An obvious projection is present - may be visible with the naked eye.,,
PalpFemurApophysis,none,,No apparent projection.,,
PalpFemurApophysis,small,,A small bump-like projection is visible under magnification - may be visible with a hand lens.,,
PalpKnobbedHairs,yes,,,,
PalpKnobbedHairs,no,,,,
,,,,,
